priority_rank,priority_tier,priority_score,priority_reasons,landing_page_slug,normalized_identity_key,display_name,scientific_name,principle_name,principle_expression,core_lesson,biological_basis,short_motto,best_use_cases,draft_source,draft_quality_flag,editorial_note,suggested_import_source
44,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,hartebeest,hartebeest,Hartebeest,Alcelaphus buselaphus,Long-faced Plain Antelope,Target what matters most.,"Open landscapes reward early detection, clean movement, and fast decisions once the space opens up.","elongated narrow face, high-shouldered running build, and sweeping open-plain vigilance give the Hartebeest a body plan tuned for its niche. Hartebeests operate through savannah, open grassland, and lightly wooded plain. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
45,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,mantled-guereza,mantled-guereza,Mantled Guereza,Colobus guereza,Mantle-cloaked Colobus,Target what matters most.,"Dense environments reward precision, patience, and the ability to read layered cover.","black-and-white mantle coat, long flowing tail tuft, and leaf-focused canopy feeding give the Mantled Guereza a body plan tuned for its niche. Mantled Guerezas operate through montane forest, riverine woodland, and tropical canopy. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
46,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,nyala,nyala,Nyala,Tragelaphus angasii,Thicket Browser,Preserve energy for decisive moves.,Patterns work best when they match the place where you move.,"striped forest-edge coat, spiraled horns on males, and quiet browsing behavior give the Nyala a body plan tuned for its niche. Nyalas operate through dense thicket, river forest, and woodland edge Their design links movement, shelter, feeding, and survival into one workable system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
47,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,poison-dart-frog,poison-dart-frog,Poison Dart Frog,Dendrobatidae,Color-coded Micro Fortress,See clearly before acting.,"If you must defend a small footprint, make the cost of testing you obvious.","Skin alkaloid defenses, bright warning coloration, and precise moisture dependence make poison dart frogs compact hardware for high-risk tropical floor systems. They help regulate small invertebrate populations while translating chemical defense into a public signal. Their whole design says the strongest deterrent is one your environment can recognize instantly.",See clearly before acting.,"[""Focus"",""Pattern Recognition"",""Decision Quality""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
48,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,sable,sable,Sable,Martes zibellina,Taiga Thread Runner,Preserve energy for decisive moves.,Soft appearance can hide a very efficient system underneath.,"silky dark fur, cold-forest agility, and quiet branch-and-ground hunting give the Sable a body plan tuned for its niche. Sables operate through taiga forest, boreal woodland, and snowy conifer habitat Their design links movement, shelter, feeding, and survival into one workable system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
49,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,sailfish,sailfish,Sailfish,Istiophorus platypterus,Pelagic Velocity Hunter,Preserve energy for decisive moves.,"At high speed, even small design advantages compound quickly.","towering dorsal sail, high-speed open-water pursuit, and bill used in coordinated feeding give the Sailfish a body plan tuned for its niche. Sailfishs operate through warm ocean surface waters and offshore pelagic zones Their design links movement, shelter, and feeding into one workable survival system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
50,P3,29,symbolism-intent:4; systems-intelligence; common-species; core-taxa,yak,yak,Yak,Bos grunniens,Highland Endurance,Sustain effort. Win over time.,A strong system is the one that keeps working where other systems lose energy.,"Long shaggy coat hanging low, heavy horns and sturdy body, and built for cold windy plateaus give the Yak a body plan tuned for its niche. Yaks operate in high plateau grassland, alpine steppe, and mountain pasture. Their design helps them match food access, shelter, and timing inside that environment.",Sustain effort. Win over time.,"[""Consistency"",""Pacing"",""Deep Work""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
51,P3,26,symbolism-intent:4; systems-intelligence; common-species,cicada,cicada,Cicada,Cicadoidea,Delayed Emergence Amplifier,Target what matters most.,"If you cannot win by being scarce, sometimes you win by arriving all at once.","Subterranean juvenile development, synchronized emergence, and high-volume acoustic organs make cicadas timing hardware on a mass scale. Cicadas move nutrients from roots to surface food webs and overwhelm predators through sheer emergence volume. They show how timing can be a defense, not just a schedule.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
52,P3,26,symbolism-intent:4; systems-intelligence; common-species,crab,crab,Crab,Brachyura,Edge-armor Opportunist,Preserve energy for decisive moves.,"You do not always need elegant forward speed. In messy environments, armor, leverage, and the ability to move through narrow edges can be the real advantage.","Hard carapace, jointed sideways gait, and claw-based feeding and signaling make crabs versatile hardware for cluttered tidal and shoreline environments. Crabs turn reef cracks, mudflats, mangroves, and rocky edges into active feeding and recycling zones. They process waste, prey on smaller animals, and convert hard surfaces into inhabited economic space.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
53,P3,26,symbolism-intent:4; systems-intelligence; common-species,termite,termite,Termite,Isoptera within Blattodea,Cellulose Conversion Factory,Preserve energy for decisive moves.,Some of the best systems create value by turning low-grade input into usable output. Waste is often just a resource without the right processing stack.,"Microbe-assisted digestion, caste-based labor specialization, and climate-regulating mound architecture allow termites to process material most animals cannot use directly. Termites convert dead plant matter into accessible nutrients, aerate soils, and build structures that alter temperature, moisture, and habitat availability for other organisms. They are infrastructure builders disguised as insects.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
54,P3,26,symbolism-intent:4; systems-intelligence; common-species,wombat,wombat,Wombat,Vombatus ursinus,Subsoil Shelter Builder,Target what matters most.,Sometimes the smartest protection is not fighting harder but building better shelter.,"Round low body with short strong legs, broad head with small ears, and powerful claws for digging burrows give the Wombat a body plan tuned for its niche. Wombats operate in woodland, scrubland, grassland, and hilly country with diggable soil. Their design helps them match food access, shelter, and timing inside that environment.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
55,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,drill-monkey,drill-monkey,Drill Monkey,Mandrillus leucophaeus,Dark Forest Drill,Target what matters most.,"Dense environments reward precision, patience, and the ability to read layered cover.","dark muscular monkey build, short tail, and powerful forest-floor troop movement give the Drill Monkey a body plan tuned for its niche. Drill Monkeys operate through lowland rainforest, riverine forest, and dense tropical cover. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
56,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,gharial,gharial,Gharial,Gavialis gangeticus,River-fish,Preserve energy for decisive moves.,Perfect tools often depend on perfect conditions.,"long narrow fish-catching snout, river-specialist body, and sandbank nesting give the Gharial a body plan tuned for its niche. Gharials operate through large river systems and sandy riverbanks Their design links movement, shelter, feeding, and survival into one workable system.",Preserve energy for decisive moves.,"[""Energy Management"",""Prioritization"",""Sustainable Output""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
57,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,giant-waxy-monkey-tree-frog,giant-waxy-monkey-tree-frog,Giant Waxy Monkey Tree Frog,Phyllomedusa bicolor,Wax-skinned Branch,Target what matters most.,"Dense environments reward precision, patience, and the ability to read layered cover.","thick waxy skin, gripping handlike feet, and slow branch-walking posture give the Giant Waxy Monkey Tree Frog a body plan tuned for its niche. Giant Waxy Monkey Tree Frogs operate through amazonian rainforest canopy and humid woodland edge. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
58,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,lammergeier,lammergeier,Lammergeier,Gypaetus barbatus,Bone-dropping Mountain,Remember patterns. Move with intent.,"In steep terrain, balance and route control matter more than brute force.","huge mountain wingspan, bone-dropping feeding strategy, and beard-like facial bristles give the Lammergeier a body plan tuned for its niche. Lammergeiers operate through high mountain cliff, alpine valley, and rocky upland. Their design links movement, feeding, shelter, and timing into one workable survival system.",Remember patterns. Move with intent.,"[""Strategy"",""Discipline"",""Long-Term Thinking""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
59,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,mata-mata-turtle,mata-mata-turtle,Mata Mata Turtle,Chelus fimbriata,Camouflaged Vacuum Hunter,Lower signal. Increase leverage.,Confusion can be a powerful form of concealment.,"Flat angular shell and long neck, fringed skin flaps around the head, and triangular leaf-like head shape give the Mata Mata Turtle a body plan tuned for its niche. Mata Mata Turtles operate in slow rivers, swamps, oxbows, and leaf-filled still freshwater habitats. Their design helps them match food access, shelter, and timing inside that environment.",Lower signal. Increase leverage.,"[""Patience"",""Signal Control"",""Preparation""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
60,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,seahorse,seahorse,Seahorse,Hippocampus spp.,Vertical Drift Sniper,Target what matters most.,Stability can be the enabling technology that makes precision possible.,"Prehensile tail, independently moving eyes, and suction feeding snout make seahorses precision hardware for structured shallow waters. Seahorses patrol seagrass and reef-edge habitats by anchoring themselves in moving water and striking tiny prey with minimal motion. Their design is strange only if you expect speed to solve everything.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
61,P3,25,symbolism-intent:4; systems-intelligence; core-taxa,uakari,uakari,Uakari,Cacajao calvus,Red-faced Canopy,Target what matters most.,"Dense environments reward precision, patience, and the ability to read layered cover.","bare bright-red face, short tail, and high-canopy seed-cracking troop life give the Uakari a body plan tuned for its niche. Uakaris operate through flooded forest, riverine canopy, and humid lowland woodland. Their design links movement, feeding, shelter, and timing into one workable survival system.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",systems_intelligence,systems_intelligence,Draft from systems intelligence; refine principle_name and biological_basis before import.,manual_website_gap_backfill_v1
62,P3,23,symbolism-intent:4; inferred-only; common-species; core-taxa,cormorant,cormorant,Cormorant,Phalacrocoracidae,Bird Precision,Target what matters most.,"In Cormorant, precision creates a repeatable survival edge when conditions are uncertain.","Cormorant is a bird known for long hooked bill, low-riding water posture, and pursuit-diving fish hunt. coastline, estuary, lake, river mouth, and offshore rock Cormorant remains fairly widespread where coastline, estuary, lake, river mouth, and offshore rock is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
63,P3,23,symbolism-intent:4; inferred-only; common-species; core-taxa,finch,finch,Finch,Fringillidae and related finch groups,Bird Precision,Target what matters most.,"In Finch, precision creates a repeatable survival edge when conditions are uncertain.","Finch is a bird known for short conical seed bill, rapid flock movement, and musical contact calls. grassland, scrub, woodland edge, and garden Finch remains fairly widespread where grassland, scrub, woodland edge, and garden is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
64,P3,23,symbolism-intent:4; inferred-only; common-species; core-taxa,lizard,lizard,Lizard,Lacertilia,Reptile Adaptability,Adjust early. Stay effective.,"In Lizard, adaptability creates a repeatable survival edge when conditions are uncertain.","Lizard is a reptile known for scaled four-limbed body, heat-driven activity rhythm, and quick stop-start movement. desert, forest, scrub, grassland, rock face, and urban wall Lizard remains fairly widespread where desert, forest, scrub, grassland, rock face, and urban wall is still available.",Adjust early. Stay effective.,"[""Resilience"",""Creativity"",""Uncertain Environments""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
65,P3,23,symbolism-intent:4; inferred-only; common-species; core-taxa,robin,robin,Robin,Erithacus and Turdus relatives,Bird Precision,Target what matters most.,"In Robin, precision creates a repeatable survival edge when conditions are uncertain.","Robin is a bird known for compact songbird body, upright perch posture, and quick ground-hopping foraging. garden, woodland edge, hedgerow, and parkland Robin remains fairly widespread where garden, woodland edge, hedgerow, and parkland is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
66,P3,23,symbolism-intent:4; inferred-only; common-species; core-taxa,seal,seal,Seal,Pinnipedia,Mammal Precision,Target what matters most.,"In Seal, precision creates a repeatable survival edge when conditions are uncertain.","Seal is a mammal known for streamlined marine body, thick insulating blubber, and flipper-driven swimming. coastline, ice edge, estuary, and offshore sea Seal can still be found in good habitat, but local numbers shift when coastline, ice edge, estuary, and offshore sea changes.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
67,P3,20,symbolism-intent:4; inferred-only; common-species,kangal,kangal,Kangal,Canis lupus familiaris,Domestic Precision,Target what matters most.,"In Kangal, precision creates a repeatable survival edge when conditions are uncertain.","Kangal is a domestic dog known for massive guardian frame, broad heavy head and neck, and calm territorial livestock defense. dry steppe pasture, village edge, and working rangeland Kangal remains fairly widespread where dry steppe pasture, village edge, and working rangeland is still available.",Target what matters most.,"[""Timing"",""High-Stakes Decisions"",""Craft""]",inferred,inferred,Inferred draft only; prioritize editorial rewrite before import.,manual_website_gap_backfill_v1
